Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Prev_Group,Group
1723808190602,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808190602,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808190801,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808190801,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808190801,2,4,0.001,0.0035758156846229,1,1,020022,020022
1723808190801,2,2,5.3918695,0.150833215,0,0,020022,020022
1723808190994,2,4,0.001,0.0006437014515479,1,1,020022,020022
1723808190994,2,2,5.363426499999999,0.0007442455,0,0,020022,020022
1723808191115,2,2,5.3611285,0.0637067856,0,0,020022,020022
1723808191115,2,4,0.001,0.0002627571487195,1,1,020022,020022
1723808191115,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191115,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191294,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191294,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191294,2,4,0.001,0.0002206700561095,1,1,020022,020022
1723808191294,2,2,5.41149,0.18230156495,0,0,020022,020022
1723808191388,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191388,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191510,2,4,0.001,1.6183208494575e-05,1,1,020022,020022
1723808191510,2,2,5.411489749999999,0.076417923535,0,0,020022,020022
1723808191710,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191710,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191809,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191809,2,2,5.084661,1.1387931393950002,0,0,020022,020022
1723808191809,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191809,2,4,0.001,8.997983451675001e-06,1,1,020022,020022
1723808191992,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808191992,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808191992,2,4,0.001,2.16286435715e-06,1,1,020022,020022
1723808191992,2,1,5.141728,0.29846334,0,0,020022,020022
1723808192120,2,4,0.001,3.983821228e-07,1,1,020022,020022
1723808192120,2,1,5.2171826,1.1605481,0,0,020022,020022
1723808192304,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808192304,2,4,0.001,5.387253055000001e-07,1,1,020022,020022
1723808192304,2,1,5.1647277,0.5258656,0,0,020022,020022
1723808192304,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808192405,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808192405,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808192596,2,1,5.186861,0.0476604,0,0,020022,020022
1723808192596,2,4,0.001,7.396275e-09,1,1,020022,020022
1723808192596,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808192596,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808192817,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808192817,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808192817,2,4,0.001,2.2939842e-08,1,1,020022,020022
1723808192817,2,1,5.186861,0.0055115316,0,0,020022,020022
1723808193000,2,4,0.001,7.54152875e-09,1,1,020022,020022
1723808193000,2,1,5.1059723,0.28202516,0,0,020022,020022
1723808193000,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808193000,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808193096,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808193096,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808193298,2,4,0.001,1.307704e-09,1,1,020022,020022
1723808193298,2,1,5.077852,0.19747864,0,0,020022,020022
1723808193510,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808193510,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808193510,2,4,0.001,3.997735e-10,1,1,020022,020022
1723808193510,2,1,5.0704193,0.016447838,0,0,020022,020022
1723808193600,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808193600,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808193600,2,4,0.001,1.98488895e-10,1,1,020022,020022
1723808193600,2,1,5.0704193,0.00050604716,0,0,020022,020022
1723808194003,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808194003,2,1,5.012873,0.10774926,0,0,020022,020022
1723808194003,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808194003,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808194101,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808194101,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808194300,2,1,5.0128727,0.009652593,0,0,020022,020022
1723808194300,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808194512,3,4,5.3003714,0.41047016743525,1,1,020022,020022
1723808194512,3,19,0.3335650608421052,0.0015037037654502,0,0,020022,020022
1723808194512,2,4,0.001,9.784879375e-11,1,1,020022,020022
1723808194512,2,1,5.0128727,0.004312114,0,0,020022,020022
1723808194602,3,4,5.3003714,0.41047016743525,1,1,020022,020022
