Avg_Timestamp,Source,N_Objects,Avg_Speed,Avg_Acceleration,Approaching,Accelerating,Group
1723801692572,3,0,0.0,0.0,1,1,000022
1723801692774,2,3,0.3670970666666666,0.1264029936863605,1,1,000022
1723801692774,2,1,4.01535,0.0021269806,0,0,000022
1723801692871,2,3,0.3670970666666666,0.1324843870196938,1,1,000022
1723801692871,2,1,3.826106,0.67402285,0,0,000022
1723801692871,3,0,0.0,0.0,1,1,000022
1723801692871,3,19,0.1354372842105262,0.110183839326518,0,0,000022
1723801693070,2,3,0.3670970666666666,0.0274373536863605,1,1,000022
1723801693070,2,1,3.8163087,0.4029184,0,0,000022
1723801693070,3,0,0.0,0.0,1,1,000022
1723801693070,3,19,0.1963118631578947,0.2606446152012488,0,0,000022
1723801693168,2,3,0.3670970666666666,0.0073188386863605,1,1,000022
1723801693168,2,1,3.8163087,0.20676246,0,0,000022
1723801693376,3,0,0.0,0.0,1,1,000022
1723801693376,3,19,0.1920442736842104,0.0359434949969922,0,0,000022
1723801693376,2,3,0.3670970333333334,0.0057996303136394,1,1,000022
1723801693376,2,1,3.7842007,0.07265955,0,0,000022
1723801693469,2,3,0.3670970333333334,0.0041442186469728,1,1,000022
1723801693469,3,0,0.0,0.0,1,1,000022
1723801693469,3,19,0.1983910894736842,0.0301024966267352,0,0,000022
1723801693469,2,1,3.64168,0.42470485,0,0,000022
1723801693564,2,1,3.692669,0.2747599,0,0,000022
1723801693564,2,3,0.3670970666666666,0.0023462109803061,1,1,000022
1723801693769,3,0,0.0,0.0,1,1,000022
1723801693769,3,19,0.230325552631579,0.0989837568160346,0,0,000022
1723801693872,3,0,0.0,0.0,1,1,000022
1723801693872,3,18,0.1862518888888888,0.1004304314996075,0,0,000022
1723801693872,2,4,2.19843705,0.0735879372352296,1,1,000022
1723801693872,2,1,3.6172404,0.27537152,0,0,000022
1723801694068,3,18,0.2247503777777778,0.1550180142855408,0,0,000022
1723801694068,2,4,2.215601575,0.0469554052647703,1,1,000022
1723801694068,2,1,3.5143793,0.4383811,0,0,000022
1723801694068,3,0,0.0,0.0,1,1,000022
1723801694180,2,1,3.587925,0.036595613,0,0,000022
1723801694180,2,4,2.219013525,0.0434813981397703,1,1,000022
1723801694180,3,0,0.0,0.0,1,1,000022
1723801694180,3,18,0.2301524888888889,0.1414101381981519,0,0,000022
1723801694365,2,4,2.1933038,0.0638596572352296,1,1,000022
1723801694365,2,1,3.503038,0.18930048,0,0,000022
1723801694578,2,4,2.1977341,0.0347202187352296,1,1,000022
1723801694578,3,0,0.0,0.0,1,1,000022
1723801694578,3,18,0.2631414055555556,0.0831380249269797,0,0,000022
1723801694578,2,1,3.430603,0.3373453,0,0,000022
1723801694760,2,4,2.2018271,0.0075415503397703,1,1,000022
1723801694760,2,1,3.4008617,0.22319402,0,0,000022
1723801694885,3,18,0.29176465,0.0954829623516083,0,0,000022
1723801694885,3,0,0.0,0.0,1,1,000022
1723801695064,3,0,0.0,0.0,1,1,000022
1723801695064,3,18,0.3017069166666666,0.0783337879308188,0,0,000022
1723801695064,2,4,2.189755275,0.0489262322352296,1,1,000022
1723801695064,2,1,3.3782372,0.085033804,0,0,000022
1723801695166,3,0,0.0,0.0,1,1,000022
1723801695166,3,18,0.3119068111111112,0.0883970233137848,0,0,000022
1723801695376,2,1,3.260033,0.10731265,0,0,000022
